field_id,lucode,crop_name,fs25_fruit,category,area_ha,priority
field_0440,AC17,Spring Barley,barley,arable,0.416,1
field_0441,AC01,Winter Wheat,wheat,arable,0.416,1
field_0442,AC17,Spring Barley,barley,arable,0.416,1
field_0443,AC19,Spring Oats,oat,arable,0.416,1
field_0444,AC01,Winter Wheat,wheat,arable,0.416,1
field_0445,AC19,Spring Oats,oat,arable,0.416,1
field_0446,AC01,Winter Wheat,wheat,arable,0.416,1
field_0447,AC01,Winter Wheat,wheat,arable,0.416,1
field_0448,AC19,Spring Oats,oat,arable,0.416,1
field_0449,AC17,Spring Barley,barley,arable,0.416,1
field_0450,AC17,Spring Barley,barley,arable,0.416,1
field_0451,AC17,Spring Barley,barley,arable,0.416,1
field_0452,AC32,Maize,maize,arable,0.416,1
field_0453,AC17,Spring Barley,barley,arable,0.416,1
field_0454,AC17,Spring Barley,barley,arable,0.416,1
field_0455,AC17,Spring Barley,barley,arable,0.416,1
field_0456,AC17,Spring Barley,barley,arable,0.416,1
field_0457,AC17,Spring Barley,barley,arable,0.416,1
field_0458,AC17,Spring Barley,barley,arable,0.416,1
field_0459,AC32,Maize,maize,arable,0.416,1
field_0460,AC17,Spring Barley,barley,arable,0.416,1
field_0461,AC17,Spring Barley,barley,arable,0.416,1
field_0462,AC17,Spring Barley,barley,arable,0.416,1
field_0463,AC17,Spring Barley,barley,arable,0.416,1
field_0464,AC17,Spring Barley,barley,arable,0.416,1
field_0465,AC17,Spring Barley,barley,arable,0.416,1
field_0466,AC01,Winter Wheat,wheat,arable,0.416,1
field_0467,AC17,Spring Barley,barley,arable,0.416,1
field_0468,AC17,Spring Barley,barley,arable,0.416,1
field_0469,AC01,Winter Wheat,wheat,arable,0.416,1
field_0470,AC17,Spring Barley,barley,arable,0.416,1
field_0471,AC17,Spring Barley,barley,arable,0.416,1
field_0472,AC17,Spring Barley,barley,arable,0.416,1
field_0473,AC17,Spring Barley,barley,arable,0.416,1
field_0474,AC17,Spring Barley,barley,arable,0.416,1
field_0475,AC17,Spring Barley,barley,arable,0.416,1
field_0476,AC17,Spring Barley,barley,arable,0.416,1
field_0477,AC17,Spring Barley,barley,arable,0.416,1
field_0478,AC17,Spring Barley,barley,arable,0.416,1
field_0479,AC17,Spring Barley,barley,arable,0.416,1
field_0480,AC17,Spring Barley,barley,arable,0.416,1
field_0481,AC17,Spring Barley,barley,arable,0.416,1
field_0482,AC17,Spring Barley,barley,arable,0.416,1
